tag,mean_excess_daily,annualized_excess
sma_20_50,6.93200787752718e-05,0.01746865985136849
sma_8_21,5.4530239051555076e-05,0.013741620240991879
sma_10_30,4.683983627374266e-05,0.01180363874098315
sma_15_40,2.8766417893355545e-05,0.007249137309125598
micro_vol_0.5_hold_3,1.1112711454028257e-05,0.0028004032864151207
micro_vol_0.3_hold_3,1.1112711454028257e-05,0.0028004032864151207
micro_vol_0.5_hold_1,1.1112711454028257e-05,0.0028004032864151207
risk_tv_0.1_lb_10,1.1112711454028257e-05,0.0028004032864151207
micro_vol_0.3_hold_1,1.1112711454028257e-05,0.0028004032864151207
micro_vol_0.2_hold_3,1.1112711454028257e-05,0.0028004032864151207
micro_vol_0.2_hold_1,1.1112711454028257e-05,0.0028004032864151207
sma_10_20,1.1112711454028257e-05,0.0028004032864151207
risk_tv_0.1_lb_40,-1.0491646487964523e-06,-0.000264389491496706
risk_tv_0.08_lb_20,-1.1234650569923455e-05,-0.0028311319436207104
execution_slipmult_0.25,-2.4228799767707642e-05,-0.006105657541462326
risk_tv_0.1_lb_20,-2.4228799767707642e-05,-0.006105657541462326
risk_tv_0.12_lb_20,-3.431038455693314e-05,-0.008646216908347151
execution_slipmult_0.5,-3.652950162931878e-05,-0.009205434410588333
execution_slipmult_1.0,-5.1948146441601614e-05,-0.013090932903283607
